@RELATION movies_ratings

@ATTRIBUTE average_rating REAL
@ATTRIBUTE num_votes REAL
@ATTRIBUTE release_year REAL
@ATTRIBUTE success {0,1}

@DATA
5.7, 270, 1979, 1
6.5, 1938, 1979, 1
5.5, 178, 1969, 0
6.2, 2716, 1972, 1
5, 183, 1976, 0
5.4, 843, 1989, 1
5.4, 2164, 1983, 1
5.3, 208, 1989, 0
6.9, 7398, 1985, 1
4.6, 338, 1990, 0
5.2, 617, 2000, 0
5.1, 32, 1997, 0
4.8, 369, 1994, 0
5.1, 1120, 1992, 1
5.7, 1471, 1997, 1
4.2, 122, 1999, 0
3.9, 43, 1994, 0
5.6, 1578, 1998, 1
5.6, 1186, 2009, 1
5.1, 1114, 2003, 0
4.4, 615, 2010, 0
4.5, 73, 2009, 0
4.2, 210, 2007, 0
3.7, 33, 2010, 0
4.1, 71, 2002, 0
6.7, 1953, 2008, 1
4.2, 39, 2001, 0
3.4, 33, 2006, 0
4, 49, 2005, 0
4, 34, 2009, 0
4.1, 36, 2002, 0
4.4, 146, 2017, 0
4.7, 176, 2017, 0
5.2, 67, 2018, 1
5.1, 63, 2018, 0
5, 184, 2017, 1
4.6, 169, 2017, 0
7.6, 21, 2018, 1
4.9, 73, 2018, 0
4.5, 224, 2018, 1
4.9, 115, 2018, 0
6.4, 284, 2018, 1
4.8, 62, 2019, 0
4.2, 12, 2020, 0
4.5, 81, 2019, 0
4.3, 18, 2020, 0
5.5, 43, 2019, 1
4.6, 8, 2020, 0
3.9, 10, 2019, 0
3.4, 24, 2019, 0
4.2, 12, 2019, 0
5.8, 285, 2019, 1
6.7, 16, 2022, 1
5.2, 100, 2003, 0
4.9, 400, 1998, 1
5.5, 50, 2015, 1
4.7, 700, 2011, 1
3.9, 300, 2012, 0
