imdb_id,movie_id,title,genres,production_countries,release_year
tt0114709,1,Taxi Driver,"['drama', 'crime']",['US'],1976
tt0113497,2,Deliverance,"['drama', 'action', 'thriller', 'european']",['US'],1972
tt0114885,3,Monty Python and the Holy Grail,"['fantasy', 'action', 'comedy']",['GB'],1975
tt0113277,4,The Dirty Dozen,"['war', 'action']","['GB', 'US']",1967
tt0114576,5,Monty Python's Flying Circus,"['comedy', 'european']",['GB'],1969
tt0113189,6,Life of Brian,['comedy'],['GB'],1979
tt0112346,7,Dirty Harry,"['thriller', 'action', 'crime']",['US'],1971
tt0113987,8,Bonnie and Clyde,"['crime', 'drama', 'action']",['US'],1967
tt0112760,9,The Blue Lagoon,"['romance', 'action', 'drama']",['US'],1980
tt0112641,10,The Guns of Navarone,"['action', 'drama', 'war']","['GB', 'US']",1961
tt0114388,11,The Professionals,"['western', 'action', 'european']",['US'],1966
tt0113101,12,Richard Pryor: Live in Concert,"['comedy', 'documentation']",['US'],1979
tt0112281,13,White Christmas,"['romance', 'comedy']",['US'],1954
tt0113845,14,Cairo Station,"['drama', 'crime', 'comedy']",['EG'],1958
tt0113161,15,Hitler: A Career,"['history', 'documentation', 'european']",['DE'],1977
tt0112401,16,FTA,"['war', 'documentation', 'music', 'comedy']",['US'],1972
tt0113627,17,Alexandria… Why?,['drama'],['EG'],1979
tt0114011,18,The Land,['drama'],['EG'],1969
tt0112682,19,Dostana,"['drama', 'comedy', 'crime', 'romance', 'action']",['IN'],1980
tt0114746,20,Saladin the Victorious,"['action', 'drama', 'war', 'history', 'romance']",['EG'],1963
tt0112431,21,Alibaba Aur 40 Chor,"['drama', 'romance', 'action', 'fantasy', 'family']","['SU', 'IN']",1979
tt0112818,22,The Blazing Sun,"['crime', 'romance', 'drama']",['EG'],1954
tt0113855,23,Dark Waters,"['action', 'drama', 'romance', 'thriller']",['EG'],1956
tt0114681,24,We Are All for the Fatherland,['documentation'],"['LB', 'CA', 'FR']",1979
tt0113347,25,Singapore,"['drama', 'thriller', 'crime']",['IN'],1960
tt0114369,26,Monty Python's Fliegender Zirkus,['comedy'],[],1972
tt0114148,27,"Beirut, Oh Beirut",['drama'],['LB'],1975
tt0114814,28,The Return of the Prodigal Son,"['music', 'drama', 'crime']","['DZ', 'EG']",1976
tt0113819,29,Khoon Khoon,"['crime', 'thriller']",['IN'],1973
tt0113118,30,Manoranjan,"['romance', 'drama', 'comedy']",['IN'],1974
tt0116367,31,Ujala,"['romance', 'crime', 'drama']",['IN'],1959
tt0113010,32,Whispers,['documentation'],"['CA', 'FR', 'LB']",1980
tt0115676,33,Chadi Jawani Budhe Nu,['romance'],['IN'],1976
tt0114367,34,Bandie,"['drama', 'action', 'romance']",['IN'],1978
tt0114660,35,Seinfeld,['comedy'],['US'],1989
tt0118158,36,GoodFellas,"['drama', 'crime']",['US'],1990
tt0113972,37,Full Metal Jacket,"['war', 'drama']","['US', 'GB']",1987
tt0117002,38,Once Upon a Time in America,"['crime', 'drama', 'european']","['US', 'IT']",1984
tt0114825,39,When Harry Met Sally...,"['comedy', 'romance', 'drama']",['US'],1989
tt0115759,40,A Nightmare on Elm Street,['horror'],"['GB', 'US']",1984
tt0115734,41,Steel Magnolias,"['comedy', 'drama', 'romance']",['US'],1989
tt0116483,42,Police Academy,"['crime', 'comedy']",['US'],1984
tt0112579,43,Christine,"['horror', 'thriller', 'european']",['US'],1983
tt0112573,44,Knight Rider,"['scifi', 'action', 'crime', 'drama']",['US'],1982
tt0075314,45,Thomas & Friends,"['animation', 'family', 'comedy', 'fantasy', 'drama', 'action', 'music']",['GB'],1984
tt0113326,46,Saved by the Bell,"['family', 'comedy', 'romance']",['US'],1989
tt0114536,47,Awakenings,"['drama', 'european']",['US'],1990
tt0103859,48,Wheel of Fortune,['family'],['US'],1983
tt0116324,49,National Lampoon's Christmas Vacation,"['comedy', 'european']",['US'],1989
tt0113451,50,Lean On Me,['drama'],['US'],1989
tt0115685,51,Eddie Murphy Raw,"['comedy', 'documentation']",['US'],1987
tt0112442,52,She's Gotta Have It,"['romance', 'comedy']",['US'],1986
tt0112427,53,Major Dad,"['comedy', 'family']",['US'],1989
tt0112384,54,Endless Love,"['romance', 'drama']",['US'],1981
tt0114287,55,Danger Mouse,"['animation', 'comedy', 'family', 'scifi', 'european']",['GB'],1981
tt0112462,56,Vaashi,"['drama', 'thriller']",['IN'],1983
tt0112541,57,Mobile Suit Gundam: Char's Counterattack,"['scifi', 'animation', 'action', 'drama', 'war']",['JP'],1988
