imdb_id,budget,revenue,profit
tt0114709,30000000,373554033,343554033
tt0113497,65000000,262797249,197797249
tt0114885,16000000,81452156,65452156
tt0113277,60000000,187436818,127436818
tt0114576,35000000,64350171,29350171
tt0113189,58000000,352194034,294194034
tt0112346,62000000,107879496,45879496
tt0113987,44000000,13681765,-30318235
tt0112760,98000000,10017322,-87982678
tt0112641,52000000,116112375,64112375
tt0114388,16500000,135000000,118500000
tt0113101,4000000,4300000,300000
tt0112281,30000000,212385533,182385533
tt0113845,60000000,35431113,-24568887
tt0113161,30250000,115101622,84851622
tt0112401,50000000,30303072,-19696928
tt0113627,3600000,49800000,46200000
tt0114011,12000000,27400000,15400000
tt0112682,18000000,1738611,-16261389
tt0114746,29500000,168840000,139340000
tt0112431,30000000,254134910,224134910
tt0112818,11000000,39363635,28363635
tt0113855,18000000,122195920,104195920
tt0114681,20000000,21284514,1284514
tt0113347,10000000,23574130,13574130
tt0114369,33000000,327311859,294311859
tt0114148,55000000,346079773,291079773
tt0114814,6000000,23341568,17341568
tt0113819,15000000,6700000,-8300000
tt0113118,3500000,28215918,24715918
tt0116367,19000000,25836616,6836616
tt0113010,50000000,11534477,-38465523
tt0115676,15000000,2042530,-12957470
tt0114367,20000000,5781885,-14218115
tt0114660,8000000,529766,-7470234
tt0118158,38000000,10300000,-27700000
tt0113972,8169363,8175346,5983
tt0117002,47000000,12379402,-34620598
tt0114825,14000000,19800000,5800000
tt0115759,50000000,150270147,100270147
tt0115734,7000000,560069,-6439931
tt0116483,12000000,41205099,29205099
tt0112579,24000000,182016617,158016617
tt0112573,72000000,210000000,138000000
tt0075314,1300000,28262574,26962574
tt0113326,7500000,32392047,24892047
tt0114536,25000000,6278139,-18721861
tt0103859,40000000,70100000,30100000
tt0116324,7000000,14702438,7702438
tt0113451,50000000,9851610,-40148390
tt0115685,31000000,185260553,154260553
tt0112442,19000000,141407024,122407024
tt0112427,4000000,851545,-3148455
tt0112384,52000000,355237933,303237933
tt0114287,28000000,31596911,3596911
tt0112462,100000000,336529144,236529144
tt0112541,2000000,1275000,-725000
tt0109370,11000000,178104,-10821896
tt0112642,50000000,287928194,237928194
tt0112688,25000000,13071518,-11928482
tt0112715,50000000,152022101,102022101
tt0112740,53000000,157387195,104387195
tt0112851,7000000,25405445,18405445
tt0112857,27000000,16140822,-10859178
tt0112864,90000000,366101666,276101666
tt0113071,55000000,127600435,72600435
tt0113243,20000000,7563728,-12436272
tt0113481,25000000,19075720,-5924280
tt0113492,90000000,113493481,23493481
tt0113540,1500000,7412216,5912216
tt0113677,500000,1148752,648752
tt0113749,6000000,2122561,-3877439
tt0113820,15000000,66000000,51000000
tt0110604,2,1,-1
tt0113957,22000000,110627965,88627965
tt0114095,150000,472370,322370
tt0114194,8,16,8
tt0114345,50000000,10382407,-39617593
tt0114436,45000000,20350754,-24649246
tt0114478,7000000,8349430,1349430
tt0114508,35000000,113374103,78374103
tt0114558,42000000,7959291,-34040709
tt0114666,14000000,5780000,-8220000
tt0114781,60000000,104324083,44324083
tt0114887,20000000,50012507,30012507
tt0114898,175000000,264218220,89218220
tt0111579,2800000,2616503,-183497
